epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,6652.46,0.44256,0.81966,0.32633,1.12579,0.98926,0.98571,0.99329,0.91584,0.98926,0.98571,0.99329,0.88329,0.39499,0.69652,0.23442,1.19148,0.0011189,0.0011189,0.0011189
91,6725.73,0.44548,0.8152,0.32821,1.12782,0.98807,0.98333,0.99422,0.91686,0.98807,0.98333,0.99422,0.88457,0.40041,0.68513,0.23163,1.20765,0.001109,0.001109,0.001109
92,6798.83,0.44241,0.82624,0.32148,1.12685,0.97878,0.99048,0.99269,0.91631,0.97878,0.99048,0.99269,0.88807,0.40112,0.69228,0.23811,1.21209,0.0010991,0.0010991,0.0010991
93,6872.36,0.4351,0.81599,0.32243,1.11763,0.98275,0.9881,0.99405,0.91723,0.98275,0.9881,0.99405,0.88985,0.40916,0.68541,0.24196,1.21154,0.0010892,0.0010892,0.0010892
94,6945.74,0.44246,0.80875,0.32253,1.12753,0.99106,0.98571,0.99334,0.91872,0.99106,0.98571,0.99334,0.89551,0.40769,0.67194,0.2433,1.19535,0.0010793,0.0010793,0.0010793
95,7019.14,0.43732,0.80871,0.3258,1.12318,0.98806,0.98554,0.99357,0.9187,0.98806,0.98554,0.99357,0.89389,0.41004,0.67982,0.23544,1.19522,0.0010694,0.0010694,0.0010694
96,7092.31,0.43982,0.81314,0.32535,1.12318,0.98255,0.99048,0.99312,0.9084,0.98255,0.99048,0.99312,0.89068,0.42051,0.67063,0.24824,1.2134,0.0010595,0.0010595,0.0010595
97,7166.03,0.43938,0.7881,0.32683,1.12296,0.9832,0.9881,0.99296,0.91769,0.9832,0.9881,0.99296,0.89554,0.39564,0.68111,0.23429,1.19093,0.0010496,0.0010496,0.0010496
98,7239.16,0.43452,0.79473,0.31878,1.11769,0.98815,0.99276,0.99318,0.91851,0.98815,0.99276,0.99318,0.89672,0.39864,0.67473,0.24138,1.19538,0.0010397,0.0010397,0.0010397
99,7312.8,0.44528,0.79947,0.31974,1.12969,0.98112,0.99008,0.99288,0.91529,0.98112,0.99008,0.99288,0.89331,0.4013,0.67849,0.24251,1.20505,0.0010298,0.0010298,0.0010298
100,7386.69,0.4351,0.7911,0.3192,1.12024,0.98633,0.98571,0.99344,0.91238,0.98633,0.98571,0.99344,0.8972,0.39404,0.67118,0.24202,1.19271,0.0010199,0.0010199,0.0010199
101,7460.2,0.42737,0.78881,0.32119,1.11372,0.98578,0.9901,0.99417,0.91893,0.98578,0.9901,0.99417,0.89504,0.40021,0.67774,0.24175,1.18558,0.00101,0.00101,0.00101
102,7533.49,0.42629,0.78373,0.32562,1.11199,0.98834,0.99048,0.99395,0.91896,0.98834,0.99048,0.99395,0.89707,0.39005,0.66869,0.23393,1.18679,0.0010001,0.0010001,0.0010001
103,7606.34,0.43811,0.79687,0.32191,1.12108,0.9883,0.98333,0.99231,0.91592,0.9883,0.98333,0.99231,0.88922,0.39816,0.67865,0.24741,1.18768,0.0009902,0.0009902,0.0009902
104,7679.78,0.42975,0.79061,0.3098,1.11022,0.98349,0.99268,0.99386,0.91957,0.98349,0.99268,0.99386,0.88835,0.39215,0.67325,0.23328,1.18381,0.0009803,0.0009803,0.0009803
105,7753.24,0.42523,0.78592,0.30771,1.10964,0.98974,0.9881,0.99335,0.91444,0.98974,0.9881,0.99335,0.89173,0.39758,0.67389,0.23089,1.198,0.0009704,0.0009704,0.0009704
106,7827.09,0.43029,0.7884,0.31706,1.11044,0.98308,0.99286,0.99349,0.91728,0.98308,0.99286,0.99349,0.8962,0.39359,0.67899,0.2357,1.18384,0.0009605,0.0009605,0.0009605
107,7900.49,0.42539,0.7865,0.31228,1.10461,0.98813,0.99076,0.99385,0.92296,0.98813,0.99076,0.99385,0.89106,0.39299,0.67492,0.22643,1.19433,0.0009506,0.0009506,0.0009506
108,7973.78,0.42458,0.80188,0.31421,1.10847,0.98569,0.99286,0.99343,0.91736,0.98569,0.99286,0.99343,0.89074,0.39384,0.68699,0.22647,1.17592,0.0009407,0.0009407,0.0009407
109,8047.67,0.42372,0.77966,0.30569,1.11037,0.98117,0.99245,0.99353,0.92457,0.98117,0.99245,0.99353,0.89733,0.388,0.6771,0.22845,1.17872,0.0009308,0.0009308,0.0009308
110,8121.41,0.42032,0.78544,0.3067,1.10049,0.98984,0.9881,0.9942,0.91946,0.98984,0.9881,0.9942,0.89518,0.3942,0.67514,0.22018,1.19985,0.0009209,0.0009209,0.0009209
111,8194.83,0.41479,0.77292,0.31141,1.10206,0.99037,0.99286,0.99431,0.91938,0.99037,0.99286,0.99431,0.8994,0.39238,0.66207,0.21704,1.19572,0.000911,0.000911,0.000911
112,8268.71,0.416,0.77892,0.30656,1.09701,0.98739,0.99048,0.99316,0.92015,0.98739,0.99048,0.99316,0.89325,0.38714,0.67297,0.22011,1.1676,0.0009011,0.0009011,0.0009011
113,8342.51,0.41766,0.75795,0.30419,1.09721,0.99047,0.99,0.99337,0.91961,0.99047,0.99,0.99337,0.89636,0.38671,0.6629,0.22161,1.18427,0.0008912,0.0008912,0.0008912
114,8416.23,0.41585,0.7674,0.30131,1.10256,0.98974,0.99048,0.99324,0.91942,0.98974,0.99048,0.99324,0.89695,0.39163,0.66591,0.21264,1.18651,0.0008813,0.0008813,0.0008813
115,8489.72,0.40903,0.77193,0.29789,1.09125,0.98989,0.99048,0.99346,0.92088,0.98989,0.99048,0.99346,0.89202,0.39278,0.66617,0.21571,1.20154,0.0008714,0.0008714,0.0008714
116,8563.34,0.40168,0.76578,0.29348,1.08808,0.98808,0.98716,0.99342,0.92447,0.98808,0.98716,0.99342,0.89544,0.39184,0.67168,0.21948,1.19628,0.0008615,0.0008615,0.0008615
117,8636.99,0.40978,0.75912,0.30117,1.10219,0.98145,0.99048,0.99369,0.9197,0.98145,0.99048,0.99369,0.8928,0.39378,0.67025,0.22246,1.18894,0.0008516,0.0008516,0.0008516
118,8710.36,0.40952,0.76106,0.29806,1.08805,0.98756,0.99048,0.99383,0.92361,0.98756,0.99048,0.99383,0.89868,0.39138,0.65931,0.21773,1.19317,0.0008417,0.0008417,0.0008417
119,8784.2,0.4087,0.76682,0.30113,1.08816,0.98528,0.99048,0.99424,0.92645,0.98528,0.99048,0.99424,0.90081,0.3835,0.64762,0.21357,1.18917,0.0008318,0.0008318,0.0008318
120,8857.77,0.40572,0.75691,0.2915,1.08819,0.99416,0.98571,0.99469,0.93195,0.99416,0.98571,0.99469,0.9049,0.37985,0.66119,0.20834,1.18093,0.0008219,0.0008219,0.0008219
121,8931.5,0.40895,0.78128,0.29497,1.09469,0.98777,0.99048,0.99392,0.92446,0.98777,0.99048,0.99392,0.89972,0.3897,0.65681,0.21513,1.18445,0.000812,0.000812,0.000812
122,9005.03,0.40129,0.76225,0.29758,1.08871,0.98644,0.9881,0.99314,0.9295,0.98644,0.9881,0.99314,0.90097,0.38523,0.67354,0.21333,1.1808,0.0008021,0.0008021,0.0008021
123,9078.62,0.40181,0.75145,0.29502,1.0837,0.99043,0.9881,0.99359,0.93098,0.99043,0.9881,0.99359,0.90102,0.38078,0.67148,0.21157,1.1706,0.0007922,0.0007922,0.0007922
124,9151.93,0.39182,0.75015,0.29098,1.07457,0.98275,0.99286,0.99309,0.93053,0.98275,0.99286,0.99309,0.89841,0.37194,0.66719,0.2162,1.16515,0.0007823,0.0007823,0.0007823
125,9225.47,0.39348,0.75081,0.28939,1.07312,0.99049,0.99233,0.99411,0.92758,0.99049,0.99233,0.99411,0.89527,0.3762,0.68215,0.21063,1.17243,0.0007724,0.0007724,0.0007724
126,9299,0.3973,0.74449,0.29068,1.07828,0.98254,0.99286,0.99361,0.92997,0.98254,0.99286,0.99361,0.89476,0.37439,0.66602,0.21489,1.16566,0.0007625,0.0007625,0.0007625
127,9372.66,0.40905,0.7654,0.29829,1.08933,0.98026,0.99286,0.99254,0.92472,0.98026,0.99286,0.99254,0.9025,0.38662,0.67629,0.22119,1.1763,0.0007526,0.0007526,0.0007526
